user_id,timestamp,temperature,day_of_week,time_of_the_day,weather_conditions,frequency_crossing,behaviour
USER026,2025-07-13 14:09:02.212,3,0,morning,snowy,342,normal
USER010,2024-05-23 23:44:37.360,8,0,afternoon,rainy,363,anomalous
USER015,2025-10-24 02:55:10.931,29,3,morning,cloudy,398,normal
USER024,2024-01-13 23:19:56.018,16,2,afternoon,sunny,397,normal
USER025,2025-09-18 14:49:47.391,16,1,afternoon,rainy,269,normal
USER005,2025-09-29 16:15:19.966,6,1,evening,snowy,222,normal
USER001,2024-02-09 19:20:34.852,12,1,morning,cloudy,533,normal
USER030,2024-02-06 04:37:14.485,5,3,evening,snowy,119,anomalous
USER033,2024-12-02 13:39:43.792,39,2,evening,sunny,202,normal
USER047,2024-08-29 08:34:32.140,19,0,night,rainy,133,normal
USER046,2025-12-28 05:30:57.939,28,0,morning,sunny,575,normal
USER034,2024-10-07 18:46:03.343,43,6,night,sunny,187,anomalous
USER026,2025-10-24 18:57:00.660,18,6,night,rainy,201,normal
USER036,2025-04-13 00:31:42.837,13,3,morning,cloudy,497,anomalous
USER025,2024-06-30 02:34:57.772,24,3,night,cloudy,92,normal
USER034,2025-03-31 17:24:53.898,15,2,night,rainy,138,anomalous
USER037,2025-08-05 10:45:48.028,11,5,afternoon,rainy,534,normal
USER008,2025-04-24 05:24:33.811,3,6,morning,snowy,323,normal
USER034,2025-11-02 22:15:02.775,14,5,morning,cloudy,401,anomalous
USER031,2024-05-14 16:27:41.635,2,6,morning,snowy,485,normal
USER006,2024-11-02 22:09:29.658,15,4,afternoon,rainy,540,normal
USER037,2025-01-13 03:20:01.859,22,4,evening,cloudy,142,normal
USER037,2024-11-17 12:47:39.284,1,5,night,snowy,115,normal
USER015,2025-01-13 00:01:32.666,1,2,night,snowy,237,anomalous
USER023,2024-01-12 23:06:39.690,43,2,morning,sunny,455,anomalous
USER033,2024-04-03 15:43:15.213,2,0,evening,snowy,211,normal
USER011,2024-12-16 03:05:25.256,25,3,night,cloudy,194,normal
USER026,2025-07-06 17:17:55.688,4,3,night,snowy,217,normal
USER006,2024-01-01 22:43:44.972,16,4,morning,cloudy,432,anomalous
USER028,2025-05-12 21:35:15.133,26,0,night,cloudy,75,normal
USER049,2025-05-11 06:48:49.679,18,3,morning,cloudy,458,normal
USER045,2024-02-02 04:34:28.763,14,4,morning,cloudy,241,normal
USER033,2025-06-03 13:15:31.178,11,4,morning,rainy,235,normal
USER050,2024-08-27 14:58:49.867,5,4,morning,rainy,497,anomalous
USER006,2025-08-03 14:08:06.310,9,1,night,snowy,108,normal
USER036,2025-03-25 12:36:58.701,24,1,afternoon,sunny,600,normal
USER007,2025-05-28 13:46:55.808,19,2,morning,cloudy,514,normal
USER042,2024-01-28 06:58:36.900,2,4,morning,snowy,244,anomalous
USER036,2024-11-23 10:02:04.454,14,3,morning,rainy,452,normal
USER050,2025-03-24 03:42:13.652,10,4,night,cloudy,55,normal
USER034,2025-02-20 06:55:39.368,4,5,morning,snowy,460,normal
USER018,2025-10-30 02:09:31.325,10,3,afternoon,snowy,352,normal
USER007,2024-10-08 21:01:53.824,6,3,night,rainy,59,normal
USER019,2025-11-22 09:34:24.063,7,5,evening,rainy,226,normal
USER013,2025-07-23 00:09:05.553,13,4,morning,rainy,250,normal
USER008,2025-05-04 09:18:21.375,24,5,morning,cloudy,582,normal
USER041,2025-12-25 15:45:08.493,36,3,night,sunny,153,normal
USER034,2024-12-28 04:14:11.324,44,2,afternoon,sunny,280,normal
USER009,2024-06-14 11:05:56.143,12,5,morning,cloudy,381,normal
USER005,2024-10-19 15:12:04.985,19,0,afternoon,rainy,292,normal
USER001,2024-01-21 08:38:56.511,24,6,afternoon,sunny,312,normal
USER014,2024-02-10 03:03:10.112,37,6,evening,sunny,201,normal
USER005,2024-06-06 02:05:43.850,21,4,evening,cloudy,79,normal
USER042,2024-03-13 07:35:41.134,26,6,evening,cloudy,95,anomalous
USER037,2024-07-23 02:26:38.670,4,0,morning,snowy,572,normal
USER009,2025-02-23 09:42:56.281,10,6,evening,rainy,209,normal
USER010,2025-04-08 17:57:20.691,9,3,afternoon,snowy,345,normal
USER009,2024-10-20 02:08:51.281,7,5,morning,snowy,379,normal
USER037,2025-08-28 06:35:11.138,19,2,morning,cloudy,483,anomalous
USER015,2024-01-25 17:21:29.786,5,2,evening,rainy,51,normal
USER037,2025-03-27 20:48:31.737,27,5,afternoon,cloudy,201,anomalous
USER021,2025-08-24 06:28:27.210,24,5,night,cloudy,60,normal
USER030,2024-01-12 10:56:14.573,30,6,afternoon,sunny,214,normal
USER021,2024-05-22 07:04:40.013,14,4,morning,cloudy,388,normal
USER022,2024-12-08 17:34:19.077,15,1,afternoon,cloudy,539,normal
USER042,2024-04-18 08:42:00.981,22,1,morning,cloudy,424,normal
