user_id,timestamp,temperature,day_of_week,time_of_the_day,weather_conditions,frequency_crossing,behaviour
USER001,2025-08-03 01:24:24.571,-39,0,morning,snowy,537,normal
USER002,2025-07-15 10:08:15.406,-26,2,afternoon,cloudy,485,anomalous
USER003,2024-03-05 11:30:57.237,28,2,evening,snowy,297,normal
USER004,2025-07-31 01:51:35.430,-40,4,morning,cloudy,259,normal
USER005,2025-09-18 05:43:43.721,41,4,morning,cloudy,360,anomalous
USER006,2025-02-16 06:47:57.793,-23,0,afternoon,sunny,570,anomalous
USER007,2024-05-05 03:31:26.958,-40,0,morning,sunny,993,anomalous
USER008,2024-05-10 17:04:04.892,-7,5,night,cloudy,466,anomalous
USER009,2024-04-01 15:26:24.221,-3,1,evening,cloudy,240,normal
USER010,2025-04-01 02:38:06.703,0,2,morning,sunny,658,normal
USER001,2024-06-12 02:22:50.123,-18,3,morning,sunny,930,normal
USER002,2025-11-26 07:59:42.368,47,3,afternoon,sunny,591,anomalous
USER003,2025-06-01 11:42:59.104,48,0,evening,sunny,749,normal
USER004,2024-08-08 07:47:13.912,-47,4,afternoon,rainy,707,normal
USER005,2025-06-26 08:33:12.812,58,4,afternoon,cloudy,612,anomalous
USER006,2025-04-16 12:27:29.062,-38,3,evening,snowy,866,normal
USER007,2025-03-05 14:26:22.709,59,3,evening,cloudy,857,normal
USER008,2024-04-04 20:09:58.002,-12,5,night,sunny,161,anomalous
USER009,2025-03-09 15:10:47.153,-29,0,evening,rainy,88,normal
USER010,2025-01-21 12:01:03.090,-21,2,evening,snowy,587,anomalous
USER001,2025-05-03 13:51:34.137,10,6,evening,snowy,152,normal
USER002,2024-08-24 14:24:14.884,-43,6,evening,rainy,407,anomalous
USER003,2025-02-20 03:29:42.947,-4,4,morning,rainy,412,normal
USER004,2025-01-08 00:15:50.082,-11,3,morning,cloudy,345,anomalous
USER005,2025-07-24 23:36:24.715,35,5,morning,snowy,150,normal
USER006,2025-03-11 06:17:06.422,43,2,morning,snowy,460,anomalous
USER007,2025-12-29 20:38:23.726,-20,2,night,sunny,473,normal
USER008,2024-07-10 22:10:50.540,-7,4,night,cloudy,593,normal
USER009,2025-04-12 01:26:47.512,8,6,morning,cloudy,725,normal
USER010,2024-03-25 19:29:13.907,-34,2,night,snowy,0,anomalous
USER001,2024-05-27 19:32:39.742,-6,2,night,cloudy,740,normal
USER002,2024-09-21 07:50:57.852,-48,6,afternoon,cloudy,773,normal
USER003,2025-04-21 03:04:38.762,-28,1,morning,snowy,24,anomalous
USER004,2024-10-12 17:08:52.153,-39,6,night,rainy,81,normal
USER005,2025-07-30 17:56:17.334,57,3,night,sunny,47,normal
USER006,2025-02-08 11:33:00.461,-28,6,evening,rainy,344,anomalous
USER007,2024-01-25 00:03:28.090,48,4,morning,rainy,880,normal
USER008,2024-10-04 18:15:43.262,38,5,night,sunny,861,anomalous
USER009,2025-12-14 22:09:34.878,-44,1,night,rainy,742,anomalous
USER010,2025-06-16 02:58:05.434,35,1,morning,snowy,146,anomalous
USER001,2024-02-15 15:22:27.377,-47,4,evening,rainy,452,anomalous
USER002,2025-01-11 04:28:38.986,-14,6,morning,sunny,233,normal
USER003,2025-04-29 22:46:00.659,50,3,night,snowy,69,anomalous
USER004,2025-03-21 02:03:07.194,-20,5,morning,snowy,958,anomalous
USER005,2025-01-06 00:56:17.428,39,1,morning,rainy,92,normal
USER006,2025-09-21 22:08:58.038,-19,1,night,snowy,458,normal
USER007,2024-09-18 11:07:47.061,-6,3,afternoon,cloudy,172,normal
USER008,2025-11-28 00:05:16.315,25,5,morning,sunny,173,anomalous
USER009,2024-01-11 10:04:16.142,-15,4,afternoon,rainy,357,anomalous
USER010,2024-11-19 10:23:01.610,-26,2,afternoon,rainy,217,anomalous
USER001,2024-05-05 01:32:11.311,-43,0,morning,sunny,550,anomalous
