[ 2025-11-06 20:52:38,340 ] 29 root - INFO - Starting data ingestion
[ 2025-11-06 20:52:40,542 ] 67 root - INFO - Performed train test split on the dataframe
[ 2025-11-06 20:52:40,542 ] 69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-06 20:52:40,542 ] 77 root - INFO - Exporting train and test file path.
[ 2025-11-06 20:52:40,549 ] 86 root - INFO - Exported train and test file path.
[ 2025-11-06 20:52:40,549 ] 31 root - INFO - Data ingestion completed
[ 2025-11-06 20:52:40,556 ] 40 root - INFO - Starting data validation
[ 2025-11-06 20:52:40,594 ] 34 root - INFO - Required number of columns:6
[ 2025-11-06 20:52:40,594 ] 35 root - INFO - Data frame has columns:6
[ 2025-11-06 20:52:40,594 ] 34 root - INFO - Required number of columns:6
[ 2025-11-06 20:52:40,594 ] 35 root - INFO - Data frame has columns:6
[ 2025-11-06 20:52:40,616 ] 42 root - INFO - Data validation completed
[ 2025-11-06 20:52:40,617 ] 51 root - INFO - Starting data transformation
[ 2025-11-06 20:52:40,617 ] 302 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-11-06 20:52:40,617 ] 304 root - INFO - Starting data transformation
[ 2025-11-06 20:52:40,619 ] 313 root - INFO - Preprocessing categorical features
[ 2025-11-06 20:52:40,620 ] 148 root - INFO - Preprocessing categorical features for train
[ 2025-11-06 20:52:40,624 ] 394 root - ERROR - Data transformation failed: '<=' not supported between instances of 'int' and 'str'
